Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022-01-01,4,Buenos Aires,5,6,11
2022-01-01,4,Capital Federal,2,2,4
2022-01-01,4,Catamarca,71,1,72
2022-01-01,4,Chaco,144,5,149
2022-01-01,4,Chubut,168,904,1072
2022-01-01,4,Córdoba,1,68,69
2022-01-01,4,Corrientes,155,4,159
2022-01-01,4,Entre Ríos,271,22,293
2022-01-01,4,Formosa,62,0,62
2022-01-01,4,Jujuy,118,0,118
2022-01-01,4,La Pampa,114,171,285
2022-01-01,4,La Rioja,86,4,90
2022-01-01,4,Mendoza,291,777,1068
2022-01-01,4,Misiones,186,0,186
2022-01-01,4,Neuquén,160,468,628
2022-01-01,4,Río Negro,162,548,710
2022-01-01,4,Salta,206,5,211
2022-01-01,4,San Juan,104,281,385
2022-01-01,4,San Luis,135,192,327
2022-01-01,4,Santa Cruz,50,198,248
2022-01-01,4,Santa Fe,888,110,998
2022-01-01,4,Santiago Del Estero,119,2,121
2022-01-01,4,Tierra Del Fuego,55,312,367
2022-01-01,4,Tucumán,263,30,293
2022-01-01,3,Buenos Aires,5,6,11
2022-01-01,3,Capital Federal,2,2,4
2022-01-01,3,Catamarca,70,1,71
2022-01-01,3,Chaco,144,5,149
2022-01-01,3,Chubut,165,904,1069
2022-01-01,3,Córdoba,1,68,69
2022-01-01,3,Corrientes,145,4,149
2022-01-01,3,Entre Ríos,269,22,291
2022-01-01,3,Formosa,69,1,70
2022-01-01,3,Jujuy,119,0,119
2022-01-01,3,La Pampa,116,171,287
2022-01-01,3,La Rioja,87,4,91
2022-01-01,3,Mendoza,289,777,1066
2022-01-01,3,Misiones,182,0,182
2022-01-01,3,Neuquén,163,468,631
2022-01-01,3,Río Negro,160,548,708
2022-01-01,3,Salta,205,5,210
2022-01-01,3,San Juan,103,281,384
2022-01-01,3,San Luis,122,182,304
2022-01-01,3,Santa Cruz,49,198,247
2022-01-01,3,Santa Fe,888,110,998
2022-01-01,3,Santiago Del Estero,119,2,121
2022-01-01,3,Tierra Del Fuego,54,312,366
2022-01-01,3,Tucumán,263,30,293
2022-01-01,2,Buenos Aires,5,6,11
2022-01-01,2,Capital Federal,2,2,4
2022-01-01,2,Catamarca,67,1,68
2022-01-01,2,Chaco,144,5,149
2022-01-01,2,Chubut,162,904,1066
2022-01-01,2,Córdoba,1,68,69
2022-01-01,2,Corrientes,145,4,149
2022-01-01,2,Entre Ríos,269,22,291
2022-01-01,2,Formosa,68,0,68
2022-01-01,2,Jujuy,115,0,115
2022-01-01,2,La Pampa,111,171,282
2022-01-01,2,La Rioja,86,4,90
2022-01-01,2,Mendoza,279,777,1056
2022-01-01,2,Misiones,179,0,179
2022-01-01,2,Neuquén,162,468,630
2022-01-01,2,Río Negro,159,548,707
2022-01-01,2,Salta,203,5,208
2022-01-01,2,San Juan,100,281,381
2022-01-01,2,San Luis,122,182,304
2022-01-01,2,Santa Cruz,49,198,247
2022-01-01,2,Santa Fe,879,110,989
2022-01-01,2,Santiago Del Estero,118,2,120
2022-01-01,2,Tierra Del Fuego,53,312,365
2022-01-01,2,Tucumán,254,30,284
2022-01-01,1,Buenos Aires,5,6,11
2022-01-01,1,Capital Federal,1,2,3
2022-01-01,1,Catamarca,62,1,63
2022-01-01,1,Chaco,144,5,149
2022-01-01,1,Chubut,171,927,1098
2022-01-01,1,Córdoba,1,74,75
2022-01-01,1,Corrientes,143,4,147
2022-01-01,1,Entre Ríos,268,22,290
2022-01-01,1,Formosa,55,0,55
2022-01-01,1,Jujuy,117,0,117
2022-01-01,1,La Pampa,110,172,282
2022-01-01,1,La Rioja,84,4,88
2022-01-01,1,Mendoza,274,786,1060
2022-01-01,1,Misiones,172,0,172
2022-01-01,1,Neuquén,149,471,620
2022-01-01,1,Río Negro,157,553,710
2022-01-01,1,Salta,198,5,203
2022-01-01,1,San Juan,88,290,378
2022-01-01,1,San Luis,120,185,305
2022-01-01,1,Santa Cruz,49,204,253
2022-01-01,1,Santa Fe,870,115,985
2022-01-01,1,Santiago Del Estero,116,2,118
2022-01-01,1,Tierra Del Fuego,52,313,365
2022-01-01,1,Tucumán,246,30,276
2021-01-01,4,Buenos Aires,5,6,11
2021-01-01,4,Capital Federal,1,2,3
2021-01-01,4,Catamarca,59,1,60
2021-01-01,4,Chaco,144,5,149
2021-01-01,4,Chubut,159,944,1103
2021-01-01,4,Córdoba,987,77,1064
2021-01-01,4,Corrientes,136,4,140
2021-01-01,4,Entre Ríos,265,22,287
2021-01-01,4,Formosa,54,0,54
2021-01-01,4,Jujuy,114,0,114
2021-01-01,4,La Pampa,107,173,280
2021-01-01,4,La Rioja,83,4,87
2021-01-01,4,Mendoza,267,804,1071
2021-01-01,4,Misiones,171,0,171
2021-01-01,4,Neuquén,147,477,624
2021-01-01,4,Río Negro,153,564,717
2021-01-01,4,Salta,199,6,205
2021-01-01,4,San Juan,80,291,371
2021-01-01,4,San Luis,119,187,306
2021-01-01,4,Santa Cruz,48,210,258
2021-01-01,4,Santa Fe,866,176,1042
2021-01-01,4,Santiago Del Estero,116,2,118
2021-01-01,4,Tierra Del Fuego,52,315,367
2021-01-01,4,Tucumán,239,30,269
2021-01-01,3,Buenos Aires,4,5,9
2021-01-01,3,Capital Federal,1,2,3
2021-01-01,3,Catamarca,56,1,57
2021-01-01,3,Chaco,140,3,143
2021-01-01,3,Chubut,155,800,955
2021-01-01,3,Córdoba,947,62,1009
2021-01-01,3,Corrientes,134,3,137
2021-01-01,3,Entre Ríos,260,15,275
2021-01-01,3,Formosa,53,0,53
2021-01-01,3,Jujuy,111,0,111
2021-01-01,3,La Pampa,100,116,216
2021-01-01,3,La Rioja,82,3,85
2021-01-01,3,Mendoza,255,619,874
2021-01-01,3,Misiones,159,0,159
2021-01-01,3,Neuquén,139,373,512
2021-01-01,3,Río Negro,144,501,645
2021-01-01,3,Salta,196,2,198
2021-01-01,3,San Juan,79,256,335
2021-01-01,3,San Luis,118,148,266
2021-01-01,3,Santa Cruz,49,197,246
2021-01-01,3,Santa Fe,841,151,992
2021-01-01,3,Santiago Del Estero,115,1,116
2021-01-01,3,Tierra Del Fuego,50,289,339
2021-01-01,3,Tucumán,232,25,257
2021-01-01,2,Buenos Aires,4,5,9
2021-01-01,2,Capital Federal,1,2,3
2021-01-01,2,Catamarca,56,1,57
2021-01-01,2,Chaco,141,3,144
2021-01-01,2,Chubut,138,825,963
2021-01-01,2,Córdoba,931,62,993
2021-01-01,2,Corrientes,129,3,132
2021-01-01,2,Entre Ríos,258,15,273
2021-01-01,2,Formosa,52,0,52
2021-01-01,2,Jujuy,112,0,112
2021-01-01,2,La Pampa,98,116,214
2021-01-01,2,La Rioja,82,3,85
2021-01-01,2,Mendoza,229,619,848
2021-01-01,2,Misiones,156,0,156
2021-01-01,2,Neuquén,138,373,511
2021-01-01,2,Río Negro,144,501,645
2021-01-01,2,Salta,192,2,194
2021-01-01,2,San Juan,79,256,335
2021-01-01,2,San Luis,123,148,271
2021-01-01,2,Santa Cruz,49,197,246
2021-01-01,2,Santa Fe,840,151,991
2021-01-01,2,Santiago Del Estero,114,1,115
2021-01-01,2,Tierra Del Fuego,35,289,324
2021-01-01,2,Tucumán,233,25,258
2021-01-01,1,Buenos Aires,4,5,9
2021-01-01,1,Capital Federal,1,1,2
2021-01-01,1,Catamarca,52,1,53
2021-01-01,1,Chaco,140,3,143
2021-01-01,1,Chubut,132,825,957
2021-01-01,1,Córdoba,911,55,966
2021-01-01,1,Corrientes,127,3,130
2021-01-01,1,Entre Ríos,252,13,265
2021-01-01,1,Formosa,51,0,51
2021-01-01,1,Jujuy,110,0,110
2021-01-01,1,La Pampa,97,116,213
2021-01-01,1,La Rioja,53,3,56
2021-01-01,1,Mendoza,218,615,833
2021-01-01,1,Misiones,149,0,149
2021-01-01,1,Neuquén,133,373,506
2021-01-01,1,Río Negro,141,501,642
2021-01-01,1,Salta,188,2,190
2021-01-01,1,San Juan,78,256,334
