Provincia,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
BUENOS AIRES,Alfredo Demarchi (Est. Facundo Quiroga),True,False,False,False,True,True,True,False,False
BUENOS AIRES,Carlos María Naón,False,False,False,False,True,True,True,False,False
BUENOS AIRES,Dudignac,False,False,True,False,True,True,True,True,False
BUENOS AIRES,La Aurora (Est. La Niña),False,False,False,False,True,False,False,False,False
BUENOS AIRES,Manuel B. Gonnet (Est. French),True,False,False,True,True,True,True,False,False
BUENOS AIRES,Marcelino Ugarte (Est. Dennehy),False,False,False,False,True,False,True,False,False
BUENOS AIRES,Morea,False,False,False,False,False,False,True,True,False
BUENOS AIRES,Norumbega,False,False,False,False,False,False,True,False,False
BUENOS AIRES,Patricios,True,False,False,False,False,True,True,True,False
BUENOS AIRES,Villa General Fournier (Est. 9 de Julio Sud),False,False,False,True,True,True,True,True,False
BUENOS AIRES,Carhué,True,False,True,True,True,True,True,True,False
BUENOS AIRES,Colonia San Miguel Arcángel,False,False,False,True,True,False,True,False,False
BUENOS AIRES,Delfín Huergo,False,False,False,False,False,False,False,False,False
BUENOS AIRES,Espartillar,False,False,False,False,True,False,False,False,False
BUENOS AIRES,Ariel,False,False,False,False,True,False,False,False,False
BUENOS AIRES,Azul,True,True,True,True,True,True,True,True,True
BUENOS AIRES,Cacharí,False,False,True,False,True,True,True,True,False
BUENOS AIRES,Chillar,False,False,False,False,True,True,True,True,True
BUENOS AIRES,Bahía Blanca,True,True,True,True,True,True,True,True,True
BUENOS AIRES,Cabildo,False,True,True,True,True,True,True,True,False
BUENOS AIRES,General Daniel Cerri (Est. General Cerri),True,True,True,True,True,True,True,True,False
BUENOS AIRES,Grunbein,False,False,False,False,True,True,False,False,False
BUENOS AIRES,Ingeniero White,False,False,False,True,True,True,False,False,True
BUENOS AIRES,Chapadmalal,True,False,False,True,True,True,True,True,True
BUENOS AIRES,El Marquesado,False,False,False,False,False,False,True,True,False
BUENOS AIRES,Estacion Camet,False,False,False,False,True,True,False,False,False
BUENOS AIRES,Estación Chapadmalal,True,False,False,True,True,True,False,True,False
BUENOS AIRES,Mar del Plata,True,True,True,True,True,True,True,True,True
BUENOS AIRES,Punta Mogotes,False,False,False,False,True,True,False,False,False
BUENOS AIRES,Sierra de los Padres,True,False,False,True,True,True,True,True,False
BUENOS AIRES,Barrio Ruta 24 Kilómetro 10,False,False,False,True,True,True,False,False,False
BUENOS AIRES,Country Club Bosque Real - Barrio Morabo,False,False,False,False,True,True,False,False,False
BUENOS AIRES,Pellegrini,True,True,True,False,True,True,True,True,True
BUENOS AIRES,Acevedo,True,True,False,False,True,True,True,True,False
BUENOS AIRES,Fontezuela,True,False,False,True,False,False,True,True,False
BUENOS AIRES,Guerrico,False,True,False,False,True,True,False,True,True
BUENOS AIRES,Juan A. de la Peña,False,False,False,False,False,False,False,True,False
BUENOS AIRES,Juan Anchorena (Est. Urquiza),True,False,False,True,True,True,True,True,False
BUENOS AIRES,La Violeta,True,False,False,False,True,True,True,False,False
BUENOS AIRES,Manuel Ocampo,False,False,False,True,True,True,True,True,False
BUENOS AIRES,Mariano Benítez,False,False,False,False,False,False,True,False,False
BUENOS AIRES,Mariano H. Alfonzo (Est. San Patricio),False,False,False,False,True,True,False,False,True
BUENOS AIRES,Pergamino,True,True,True,True,True,True,True,True,True
BUENOS AIRES,Pinzón,False,False,False,False,False,False,False,True,False
MENDOZA,El Paramillo,False,False,False,False,False,False,False,False,False
CABA,VILLA PUEYRREDON,True,True,True,True,True,True,True,True,True
CATAMARCA,Los Varela,False,False,False,False,True,False,False,False,True
CATAMARCA,Singuil,False,False,False,False,True,False,False,False,False
CATAMARCA,Ancasti,False,False,False,False,True,False,True,False,True
CATAMARCA,Anquincila,False,False,False,False,False,False,False,False,False
CATAMARCA,La Candelaria,False,False,False,False,False,False,False,False,False
CATAMARCA,La Majada,False,False,False,False,False,False,False,False,False
CATAMARCA,Aconquija,False,False,False,False,True,True,False,False,True
CATAMARCA,Alto De Las Juntas,False,False,False,False,False,False,False,False,False
CATAMARCA,Amanao,False,False,False,False,False,True,True,False,False
CATAMARCA,Andalgalá,True,False,False,True,True,True,True,True,True
CATAMARCA,Buena Vista,False,False,False,False,False,False,False,False,False
CATAMARCA,Chaquiago,False,False,False,True,False,False,False,True,True
CATAMARCA,Choya,False,False,False,False,False,False,False,False,False
CATAMARCA,El Alamito,False,False,False,False,False,False,False,True,False
CATAMARCA,El Lindero,False,False,False,False,False,False,True,False,False
CATAMARCA,El Potrero,False,False,False,True,False,False,True,False,False
CATAMARCA,La Aguada,False,False,False,True,False,False,False,True,False
CATAMARCA,La Mesada,False,False,False,True,False,False,False,False,False
CATAMARCA,Antofagasta de la Sierra,False,False,False,False,True,False,True,False,True
CATAMARCA,Antofalla,False,False,False,False,False,False,False,False,False
CATAMARCA,El Peñón,False,False,False,False,False,False,True,False,False
CATAMARCA,Los Nacimientos,False,False,False,False,False,False,False,False,False
CATAMARCA,Barranca Larga,False,False,False,False,False,False,True,False,False
CATAMARCA,Belén,False,False,False,False,True,True,True,True,True
CATAMARCA,Cóndor Huasi,False,False,False,False,False,False,False,False,False
CATAMARCA,Corral Quemado,False,False,False,False,False,False,True,False,False
CATAMARCA,El Durazno,False,False,False,False,False,False,False,False,True
CATAMARCA,Farallón Negro,False,False,False,False,True,False,True,False,False
CATAMARCA,Hualfín,False,False,False,False,True,False,True,False,True
CATAMARCA,Jacipunco,False,False,False,False,False,False,True,False,False
CORDOBA,Villa de las Rosas,False,False,False,False,True,True,False,True,False
CORDOBA,Villa Dolores,True,True,False,True,True,True,True,True,False
CORDOBA,Villa La Viña,False,False,False,False,False,False,False,True,False
CORDOBA,Alicia,False,True,False,True,True,True,True,False,True
CORDOBA,Altos de Chipión,False,False,False,True,True,True,True,False,True
CORDOBA,Arroyito,True,True,False,True,True,True,True,True,True
CORDOBA,Balnearia,False,False,False,False,True,True,True,False,False
CORDOBA,Brinkmann,True,False,False,True,True,True,True,False,False
CORDOBA,Colonia 10 de Julio,False,False,False,False,False,False,False,False,False
CORDOBA,Colonia Anita,False,False,False,False,False,False,False,True,False
CORDOBA,Colonia Iturraspe,False,False,False,False,False,False,False,False,False
CORDOBA,Colonia Las Pichanas,False,False,False,False,False,False,False,True,False
ENTRE RIOS,Caseros,True,False,False,True,True,True,True,True,False
ENTRE RIOS,Colonia Elía,False,False,False,True,True,False,True,True,False
ENTRE RIOS,Concepción del Uruguay,True,True,True,True,True,True,True,True,False
ENTRE RIOS,Estancia San Pedro,False,False,False,False,False,False,False,True,False
ENTRE RIOS,Herrera,True,False,False,False,True,False,True,True,False
ENTRE RIOS,Las Moscas,False,False,False,True,True,False,True,True,False
ENTRE RIOS,Líbaros,False,False,False,False,False,False,True,True,False
ENTRE RIOS,Pronunciamiento,False,False,False,False,True,True,True,True,False
ENTRE RIOS,Rocamora,False,False,False,False,False,False,True,True,False
ENTRE RIOS,Santa Anita,False,False,False,True,True,False,True,True,False
ENTRE RIOS,Villa Mantero,True,False,False,True,True,True,True,True,True
ENTRE RIOS,Villa San Justo,False,False,False,True,True,True,True,True,False
ENTRE RIOS,Villa San Marcial (Est. Gobernador Urquiza),False,False,False,False,True,True,True,True,False
ENTRE RIOS,Antelo,False,False,False,False,False,False,False,False,False
MENDOZA,El Vergel,False,False,False,False,False,False,False,True,False
MENDOZA,Ingeniero Gustavo André,False,False,False,False,False,False,False,True,False
MENDOZA,Jocolí,False,False,False,False,False,False,False,True,False
MENDOZA,Jocolí Viejo,False,False,False,False,False,False,False,True,False
MENDOZA,Las Violetas,False,False,False,False,False,False,False,False,False
MENDOZA,Villa Tulumaya,False,False,False,True,True,True,False,True,False
MENDOZA,Agrelo,True,False,False,True,True,True,True,True,False
MENDOZA,Barrio Adina I Y Ii,False,False,False,False,True,True,False,False,False
MENDOZA,Barrio Perdriel IV,False,False,False,True,True,False,False,True,False
MENDOZA,Cacheuta,True,False,False,False,True,True,True,True,False
MENDOZA,CARRODILLA,False,False,False,True,True,True,False,True,False
MENDOZA,CHACRAS DE CORIA,False,False,False,True,True,True,False,True,False
MENDOZA,Costa Flores,False,False,False,True,True,True,False,True,False
MENDOZA,El Carmelo,False,False,False,False,False,False,False,False,False
MENDOZA,El Carrizal,False,False,False,False,True,False,False,True,False
MENDOZA,El Salto,False,False,False,False,False,False,True,True,False
MENDOZA,La Puntilla,False,False,False,True,False,False,False,True,False
MENDOZA,Rivadavia,True,False,True,True,True,True,True,True,True
MENDOZA,Santa María de Oro,False,False,False,False,False,False,False,True,False
MENDOZA,Barrio Carrasco,False,False,False,False,False,False,False,False,False
MENDOZA,Barrio El Cepillo,False,False,False,False,False,False,False,True,False
MENDOZA,Chilecito,False,False,False,False,True,True,False,True,False
MENDOZA,Eugenio Bustos,True,False,False,False,True,True,True,True,False
MENDOZA,La Consulta,True,False,False,False,True,True,True,True,True
MENDOZA,Pareditas,False,False,False,True,True,True,True,True,False
MENDOZA,San Carlos,False,True,False,False,True,True,False,True,False
MENDOZA,Alto Salvador,False,False,False,True,False,False,True,True,False
MENDOZA,Alto Verde,False,False,False,True,False,False,False,True,False
MENDOZA,Barrio Chivilcoy,False,False,False,False,False,False,False,False,False
MENDOZA,Barrio Emanuel,False,False,False,False,False,False,False,False,False
MENDOZA,Barrio La Estación,False,False,False,False,False,False,False,False,False
MENDOZA,Barrio Los Charabones,False,False,False,False,False,False,False,False,False
MENDOZA,Barrio Ntra. Sra. De Fátima,False,False,False,False,False,True,False,False,False
MENDOZA,Chapanay,False,False,True,True,True,True,True,True,False
