Año,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos
2013-01-01,1,7761349,57147608,64908957
2013-01-01,2,7769110,58004822,65773932
2013-01-01,3,8002183,59048909,67051092
2013-01-01,4,8674516,58894516,67569032
2014-01-01,1,8224482,54725089,62949571
2014-01-01,2,7953775,53009865,60963640
2014-01-01,3,8214424,53102043,61316467
2014-01-01,4,8027505,53093330,61120835
2015-01-01,1,7747230,52474633,60221863
2015-01-01,2,7633527,52241939,59875466
2015-01-01,3,7600799,53131712,60732511
2015-01-01,4,7594526,54247485,61842011
2016-01-01,1,7483126,54003635,61486761
2016-01-01,2,7565115,54557406,62122521
2016-01-01,3,7520789,56058550,63579339
2016-01-01,4,7637635,56082170,63719805
2017-01-01,1,7502772,55523350,63026122
2017-01-01,2,7415230,55483528,62898758
2017-01-01,3,7272585,54958224,62230809
2017-01-01,4,7108228,54789151,61897379
2018-01-01,1,7101698,53470098,60571796
2018-01-01,2,6637444,52828949,59466393
2018-01-01,3,6551391,52289745,58841136
2018-01-01,4,6488017,52110024,58598041
2019-01-01,1,6645995,51960447,58606442
2019-01-01,2,5924037,51672054,57596091
2019-01-01,3,5974898,50300828,56275726
2019-01-01,4,5797378,50133536,55930914
2020-01-01,1,57431320,49869048,55612810
2020-01-01,2,5659667,49391056,55050723
2020-01-01,3,5559724,49060162,54619886
2020-01-01,4,5556299,49207602,54763900
2021-01-01,1,6041047,50411986,56453033
2021-01-01,2,6046091,50829471,56875562
2021-01-01,3,6104479,51708030,57812509
2021-01-01,4,6186994,52878833,59065827
2022-01-01,1,6231309,52937601,59168910
2022-01-01,2,6245815,52865377,59111192
2022-01-01,3,6250732,53008139,59258871
2022-01-01,4,6546406,53157521,59703927
